AMM	Groupe	Intitule_Groupe	Substance_active
2160226	C	Substances_naturelles	Phosphate_ferrique
2160383	C	Substances_naturelles	Acide_gibberellique
2160390	C	Substances_naturelles	Gibberellines_GA4/GA7
2160399	C	Substances_naturelles	Huile_de_poisson
2160409	C	Substances_naturelles	Phosphate_ferrique
2160421	C	Substances_naturelles	6-Benzyladenine
2160423	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2160454	C	Substances_naturelles	Extrait_d_ail
2160475	C	Substances_naturelles	Soufre
2160492	A	microorganismes	Trichoderma_asperellum_T34
2160494	A	microorganismes	Bacillus_thuringiensis_subsp._kurstaki_souche_EG_2348
2160527	C	Substances_naturelles	Acides_gras
2160608	C	Substances_naturelles	Pyrethrines_et_Huile_de_colza
2160609	C	Substances_naturelles	Pyrethrines_et_Huile_de_colza
2160614	C	Substances_naturelles	Acide_pelargonique
2160615	C	Substances_naturelles	Soufre
2160616	C	Substances_naturelles	Huile_de_paraffine
2160620	A	microorganismes	Cydia_pomonella_granulosis_virus
2160662	C	Substances_naturelles	Phosphonates_de_potassium
2160686	A	microorganismes	Trichoderma_atroviride_I-1237
2160706	A	microorganismes	Virus_de_la_polyhedrose_nucleaire
2160818	C	Substances_naturelles	Soufre
2160841	A	microorganismes	Bacillus_amyloliquefaciens_ssp._plantarum_souche_D747
2160845	C	Substances_naturelles	Soufre
2160929	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2160943	A	microorganismes	Bacillus_thuringiensis_subsp._kurstaki_souche_SA_11
2160974	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2160985	C	Substances_naturelles	Huile_de_paraffine
2161035	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2161072	C	Substances_naturelles	Maltodextrine
2161080	C	Substances_naturelles	Eugenol_Geraniol_Thymol
2169998	A	microorganismes	Trichoderma_atroviride_SC1
2170002	C	Substances_naturelles	Acide_acetique
2170003	C	Substances_naturelles	Acide_acetique
2170029	C	Substances_naturelles	Soufre
2170062	C	Substances_naturelles	Acide_pelargonique
2170150	C	Substances_naturelles	Phosphonates_de_potassium
2170220	C	Substances_naturelles	Laminarine
2170243	C	Substances_naturelles	Acide_pelargonique
2170321	C	Substances_naturelles	Acide_pelargonique
2170355	C	Substances_naturelles	Acide_pelargonique
2170392	D	Piege_a_insectes	Piege_a_insectes_(Deltamethrine)
2170412	C	Substances_naturelles	Huile_essentielle_d_orange
2170434	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2170435	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2170436	A	microorganismes	Bacillus_thuringiensis_subsp._aizawai_souche_GC_91
2170437	A	microorganismes	Beauveria_bassiana_souche_ATCC_74040
2170461	C	Substances_naturelles	Hydrogenocarbonate_de_potassium
2170462	C	Substances_naturelles	Huile_de_paraffine
2170463	C	Substances_naturelles	Huile_de_paraffine
2170464	C	Substances_naturelles	Huile_de_paraffine
2170465	A	microorganismes	Bacillus_thuringiensis_subsp._kurstaki_souche_SA_12
2170466	A	microorganismes	Bacillus_thuringiensis_subsp._kurstaki_souche_SA_12
2170516	C	Substances_naturelles	COS-OGA
2170538	C	Substances_naturelles	Soufre
2170542	D	Piege_a_insectes	Piege_a_insectes_(Deltamethrine)
2170654	C	Substances_naturelles	Cerevisane
2170685	C	Substances_naturelles	Acide_acetique
2170746	C	Substances_naturelles	Extrait_d_ail
2170780	A	microorganismes	Beauveria_bassiana_souche_GHA
2170785	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2170825	A	microorganismes	Cydia_pomonella_granulosis_virus
2170832	A	microorganismes	Cydia_pomonella_granulosis_virus
2170855	C	Substances_naturelles	Eugenol_Geraniol_Thymol
2170859	C	Substances_naturelles	Eugenol_Geraniol_Thymol
2170861	C	Substances_naturelles	Hydrogenocarbonate_de_potassium
2170931	A	microorganismes	Pseudomonas_sp._souche_DSMZ_13134
2170932	C	Substances_naturelles	COS-OGA
2170960	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2170977	C	Substances_naturelles	Huile_de_colza
2170978	C	Substances_naturelles	Huile_de_colza
2170997	C	Substances_naturelles	Soufre
2171067	C	Substances_naturelles	Hydrogenocarbonate_de_potassium
2171089	C	Substances_naturelles	Spinosad
2171118	C	Substances_naturelles	Cerevisane
2171126	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2171177	C	Substances_naturelles	Eugenol_Geraniol_Thymol
2171200	C	Substances_naturelles	Hydrogenocarbonate_de_potassium
2171201	C	Substances_naturelles	Phosphonate_de_disodium
2171234	C	Substances_naturelles	Acide_pelargonique
2171248	A	microorganismes	Bacillus_amyloliquefaciens_souche_MBI600
2171250	C	Substances_naturelles	Huile_de_paraffine
2171253	A	microorganismes	Bacillus_amyloliquefaciens_souche_MBI600
2171257	C	Substances_naturelles	COS-OGA
2180042	A	microorganismes	Aureobasidium_pullulans_souche_DSM_14940
2180058	A	microorganismes	Beauveria_bassiana_souche_NPP111B005
2180075	C	Substances_naturelles	Acide_pelargonique
2180120	A	microorganismes	Trichoderma_asperellum_souches_ICC012_et_Trich._gamsii_souche_ICC080
2180147	C	Substances_naturelles	Phosphate_ferrique
2180148	C	Substances_naturelles	Phosphate_ferrique
2180149	C	Substances_naturelles	Phosphate_ferrique
2180150	C	Substances_naturelles	Phosphate_ferrique
2180151	C	Substances_naturelles	Phosphate_ferrique
2180244	C	Substances_naturelles	Acide_acetique
2180245	C	Substances_naturelles	Acide_acetique
2180252	C	Substances_naturelles	Acide_indolbutyrique
2180256	C	Substances_naturelles	Sulfate_de_fer
2180257	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2180275	C	Substances_naturelles	Cerevisane
2180283	C	Substances_naturelles	Sulfate_de_fer
2180289	C	Substances_naturelles	Graisse_de_mouton
2180361	C	Substances_naturelles	Acide_pelargonique
2180367	C	Substances_naturelles	Acide_caprylique
2180369	C	Substances_naturelles	Acide_caprylique
2180404	A	microorganismes	Bacillus_subtilis_souche_QST_713
2180408	C	Substances_naturelles	Huile_de_paraffine
2180417	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2180543	C	Substances_naturelles	Hydrogenocarbonate_de_potassium
2180544	C	Substances_naturelles	Hydrogenocarbonate_de_potassium
2180549	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2180598	C	Substances_naturelles	Phosphonates_de_potassium
2180630	A	microorganismes	Bacillus_subtilis_souche_QST_713
2180631	C	Substances_naturelles	Huile_essentielle_d_orange
2180633	A	microorganismes	Bacillus_pumilus_QST_2808
2180651	A	microorganismes	Bacillus_amyloliquefaciens_souche_FZB24
2180690	C	Substances_naturelles	Huile_de_paraffine
2180691	D	Piege_a_insectes	Piege_a_insectes_(Deltamethrine)
2180720	C	Substances_naturelles	Phosphonates_de_potassium
2180858	C	Substances_naturelles	Huile_de_menthe_verte
2180891	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2189998	B	mediateurs_chimiques_pheromones_kairomones	Pheromones_a_chaine_lineaire_de_lepidopteres_(SCLP)
2190010	A	microorganismes	Saccharomyces_cerevisiae_souche_LAS02
2190011	A	microorganismes	Saccharomyces_cerevisiae_souche_LAS02
2190027	C	Substances_naturelles	Soufre
2190065	C	Substances_naturelles	Huile_de_paraffine
2190066	C	Substances_naturelles	Sulfate_de_fer
