"AMM" "annee" "substance" "classification" "quantite_substance" "usages" "Group_BioC" "Type_BioC" "Substance_BioC"
"61" "2000010" "2016" "oxyfluorfene" "T,_T+,_CMR" 12,604 "Herbicide" NA NA NA
"62" "2000010" "2012" "oxyfluorfene" "N_Organique" 1049,42 "Herbicide" NA NA NA
"63" "2000010" "2010" "oxyfluorfene" "N_Organique" 1148,334 "Herbicide" NA NA NA
"64" "2000010" "2015" "propyzamide" "T,_T+,_CMR" 368,08 "Herbicide" NA NA NA
"65" "2000010" "2017" "propyzamide" "T,_T+,_CMR" 225,342 "Herbicide" NA NA NA
"66" "2000010" "2013" "oxyfluorfene" "N_Organique" 1424,937 "Herbicide" NA NA NA
"67" "2000011" "2009" "bromoxynil_octanoate" "T,_T+,_CMR" 26,4 "Herbicide" NA NA NA
"68" "2000011" "2011" "bromoxynil_octanoate" "T,_T+,_CMR" 111 "Herbicide" NA NA NA
"69" "2000011" "2015" "bromoxynil_octanoate" "T,_T+,_CMR" 0,2 "Herbicide" NA NA NA
"70" "2000011" "2008" "bromoxynil_octanoate" "T,_T+,_CMR" 9351,88 "Herbicide" NA NA NA
"71" "2000011" "2010" "bromoxynil_octanoate" "T,_T+,_CMR" 109,6 "Herbicide" NA NA NA
"72" "2000011" "2016" "bromoxynil_octanoate" "T,_T+,_CMR" 0,04 "Herbicide" NA NA NA
"73" "2000014" "2014" "lufenuron" "N_Organique" 0,25 "Insecticide" NA NA NA
"74" "2000014" "2012" "lufenuron" "N_Organique" 0,7 "Insecticide" NA NA NA
"75" "2000014" "2008" "lufenuron" "N_Organique" 39,95 "Insecticide" NA NA NA
"76" "2000014" "2009" "lufenuron" "N_Organique" 70,625 "Insecticide" NA NA NA
"77" "2000014" "2016" "lufenuron" "Autre" 5 "Insecticide" NA NA NA
"78" "2000014" "2013" "lufenuron" "Autre" 0,28 "Insecticide" NA NA NA
"79" "2000014" "2010" "lufenuron" "N_Organique" 73,55 "Insecticide" NA NA NA
"80" "2000014" "2011" "lufenuron" "N_Organique" 76,4 "Insecticide" NA NA NA
"81" "2000014" "2015" "lufenuron" "N_Organique" 1 "Insecticide" NA NA NA
"82" "2000017" "2014" "tau-fluvalinate" "N_Organique" 2171,86032 "Insecticide" NA NA NA
"83" "2000017" "2010" "tau-fluvalinate" "N_Organique" 2757,384239934 "Insecticide" NA NA NA
"84" "2000017" "2015" "tau-fluvalinate" "N_Organique" 1733,61288 "Insecticide" NA NA NA
"85" "2000017" "2009" "tau-fluvalinate" "N_Organique" 4231,152239976 "Insecticide" NA NA NA
"86" "2000017" "2012" "tau-fluvalinate" "N_Organique" 1473,09288 "Insecticide" NA NA NA
"87" "2000017" "2011" "tau-fluvalinate" "N_Organique" 4274,980079967 "Insecticide" NA NA NA
"88" "2000017" "2019" "tau-fluvalinate" "Env_A" 391,3452 "Insecticide" NA NA NA
"89" "2000017" "2016" "tau-fluvalinate" "N_Organique" 1537,05576 "Insecticide" NA NA NA
"90" "2000017" "2018" "tau-fluvalinate" "N_Organique" 1044,09744 "Insecticide" NA NA NA
"91" "2000017" "2013" "tau-fluvalinate" "N_Organique" 1516,37544 "Insecticide" NA NA NA
"92" "2000017" "2008" "tau-fluvalinate" "N_Organique" 2457,50064 "Insecticide" NA NA NA
"93" "2000017" "2017" "tau-fluvalinate" "N_Organique" 794,17272 "Insecticide" NA NA NA
"94" "2000018" "2019" "soufre_pour_pulverisation_(micronise)" "Autre" 1302349,16 "Fongicide" "C" "Substances_naturelles" "Soufre"
"95" "2000018" "2015" "soufre_pour_pulverisation_(micronise)" "Autre" 1650808,416 "Fongicide" "C" "Substances_naturelles" "Soufre"
"96" "2000018" "2013" "soufre_pour_pulverisation_(micronise)" "Autre" 1749398,64 "Fongicide" "C" "Substances_naturelles" "Soufre"
"97" "2000018" "2018" "soufre_pour_pulverisation_(micronise)" "Autre" 1104706,6736 "Fongicide" "C" "Substances_naturelles" "Soufre"
"98" "2000018" "2009" "soufre_pour_pulverisation_(micronise)" "Autre" 390056,56 "Fongicide" "C" "Substances_naturelles" "Soufre"
"99" "2000018" "2014" "soufre_pour_pulverisation_(micronise)" "Autre" 1770820,6112 "Fongicide" "C" "Substances_naturelles" "Soufre"
"100" "2000018" "2008" "soufre_pour_pulverisation_(micronise)" "Autre" 454308,64 "Fongicide" "C" "Substances_naturelles" "Soufre"
"101" "2000018" "2011" "soufre_pour_pulverisation_(micronise)" "Autre" 1050184,584 "Fongicide" "C" "Substances_naturelles" "Soufre"
"102" "2000018" "2010" "soufre_pour_pulverisation_(micronise)" "Autre" 732097,904 "Fongicide" "C" "Substances_naturelles" "Soufre"
"103" "2000018" "2012" "soufre_pour_pulverisation_(micronise)" "Autre" 1295323,272 "Fongicide" "C" "Substances_naturelles" "Soufre"
"104" "2000018" "2016" "soufre_pour_pulverisation_(micronise)" "Autre" 1848374,688 "Fongicide" "C" "Substances_naturelles" "Soufre"
"105" "2000018" "2017" "soufre_pour_pulverisation_(micronise)" "Autre" 1244231,192 "Fongicide" "C" "Substances_naturelles" "Soufre"
"106" "2000026" "2008" "propamocarbe" "Autre" 0,722 "Fongicide" NA NA NA
"107" "2000028" "2015" "glufosinate_ammonium" "T,_T+,_CMR" 7,68 "Herbicide" NA NA NA
"108" "2000028" "2013" "glufosinate_ammonium" "T,_T+,_CMR" 5,628 "Herbicide" NA NA NA
"109" "2000028" "2011" "glufosinate_ammonium" "T,_T+,_CMR" 1,584 "Herbicide" NA NA NA
"110" "2000028" "2012" "glufosinate_ammonium" "T,_T+,_CMR" 0,288 "Herbicide" NA NA NA
"111" "2000028" "2014" "glufosinate_ammonium" "T,_T+,_CMR" 16,236 "Herbicide" NA NA NA
"112" "2000029" "2008" "glufosinate_ammonium" "Autre" 2,16 "Herbicide" NA NA NA
"113" "2000029" "2010" "glufosinate_ammonium" "T,_T+,_CMR" 13,38 "Herbicide" NA NA NA
"114" "2000029" "2015" "glufosinate_ammonium" "T,_T+,_CMR" 24,18 "Herbicide" NA NA NA
"115" "2000029" "2019" "glufosinate_ammonium" "CMR" 120,216 "Herbicide" NA NA NA
"116" "2000029" "2009" "glufosinate_ammonium" "Autre" 21,156 "Herbicide" NA NA NA
"117" "2000029" "2014" "glufosinate_ammonium" "T,_T+,_CMR" 126,6 "Herbicide" NA NA NA
"118" "2000029" "2016" "glufosinate_ammonium" "T,_T+,_CMR" 68,766 "Herbicide" NA NA NA
"119" "2000029" "2011" "glufosinate_ammonium" "T,_T+,_CMR" 519 "Herbicide" NA NA NA
"120" "2000029" "2013" "glufosinate_ammonium" "T,_T+,_CMR" 5,136 "Herbicide" NA NA NA
"121" "2000029" "2018" "glufosinate_ammonium" "T,_T+,_CMR" 111,096 "Herbicide" NA NA NA
"122" "2000029" "2017" "glufosinate_ammonium" "T,_T+,_CMR" 228,72 "Herbicide" NA NA NA
"123" "2000029" "2012" "glufosinate_ammonium" "T,_T+,_CMR" 30,804 "Herbicide" NA NA NA
"124" "2000030" "2019" "glufosinate_ammonium" "CMR" 0,378 "Herbicide" NA NA NA
"125" "2000030" "2017" "glufosinate_ammonium" "T,_T+,_CMR" 0,056 "Herbicide" NA NA NA
"126" "2000030" "2012" "glufosinate_ammonium" "T,_T+,_CMR" 0,088 "Herbicide" NA NA NA
"127" "2000030" "2015" "glufosinate_ammonium" "T,_T+,_CMR" 0,006 "Herbicide" NA NA NA
"128" "2000032" "2016" "glufosinate_ammonium" "T,_T+,_CMR" 6,9465 "Herbicide" NA NA NA
"129" "2000033" "2015" "glufosinate_ammonium" "T,_T+,_CMR" 0,0825 "Herbicide" NA NA NA
"130" "2000033" "2008" "glufosinate_ammonium" "Autre" 2,0075 "Herbicide" NA NA NA
"131" "2000035" "2011" "clofentezine" "Autre" 13,5 "Acaricide" NA NA NA
"132" "2000035" "2013" "clofentezine" "N_Organique" 2,65 "Acaricide" NA NA NA
"133" "2000035" "2012" "clofentezine" "N_Organique" 6,4 "Acaricide" NA NA NA
"134" "2000035" "2009" "clofentezine" "Autre" 17,4 "Acaricide" NA NA NA
"135" "2000035" "2014" "clofentezine" "N_Organique" 0,125 "Acaricide" NA NA NA
"136" "2000035" "2010" "clofentezine" "Autre" 8,85 "Acaricide" NA NA NA
"137" "2000038" "2017" "chloridazone" "N_Organique" 322,5 "Herbicide" NA NA NA
"138" "2000041" "2011" "metaldehyde" "Autre" 9,72 "Molluscicide" NA NA NA
"139" "2000041" "2010" "metaldehyde" "Autre" 8,8 "Molluscicide" NA NA NA
"140" "2000041" "2018" "metaldehyde" "Autre" 16,49 "Molluscicide" NA NA NA
"141" "2000041" "2015" "metaldehyde" "Autre" 2,4 "Molluscicide" NA NA NA
"142" "2000041" "2019" "metaldehyde" "Autre" 54,49 "Molluscicide" NA NA NA
"143" "2000041" "2016" "metaldehyde" "Autre" 120,775 "Molluscicide" NA NA NA
"144" "2000041" "2009" "metaldehyde" "Autre" 8,6 "Molluscicide" NA NA NA
"145" "2000041" "2012" "metaldehyde" "Autre" 31,33 "Molluscicide" NA NA NA
"146" "2000041" "2008" "metaldehyde" "Autre" 35,275 "Molluscicide" NA NA NA
"147" "2000042" "2013" "bacillus_thuringiensis_serotype_3a_3b" "Autre" 65,49 "Insecticide" NA NA NA
"148" "2000042" "2011" "bacillus_thuringiensis_serotype_3a_3b" "Autre" 0 "Insecticide" NA NA NA
"149" "2000042" "2012" "bacillus_thuringiensis_serotype_3a_3b" "Autre" 2091,586875 "Insecticide" NA NA NA
"150" "2000042" "2009" "bacillus_thuringiensis_serotype_3a_3b" "Autre" 0 "Insecticide" NA NA NA
"151" "2000042" "2010" "bacillus_thuringiensis_serotype_3a_3b" "Autre" 0 "Insecticide" NA NA NA
"152" "2000044" "2013" "fluazifop-p-butyl" "N_Organique" 17710,1 "Herbicide" NA NA NA
"153" "2000044" "2017" "fluazifop-p-butyl" "T,_T+,_CMR" 15487,465625 "Herbicide" NA NA NA
"154" "2000044" "2019" "fluazifop-p-butyl" "CMR" 12685,6175 "Herbicide" NA NA NA
"155" "2000044" "2015" "fluazifop-p-butyl" "T,_T+,_CMR" 12076,90375 "Herbicide" NA NA NA
"156" "2000044" "2012" "fluazifop-p-butyl" "N_Organique" 17725,275 "Herbicide" NA NA NA
"157" "2000044" "2009" "fluazifop-p-butyl" "N_Organique" 18376,4875 "Herbicide" NA NA NA
"158" "2000044" "2008" "fluazifop-p-butyl" "N_Organique" 13684,975 "Herbicide" NA NA NA
"159" "2000044" "2018" "fluazifop-p-butyl" "T,_T+,_CMR" 14786,126125 "Herbicide" NA NA NA
"160" "2000044" "2016" "fluazifop-p-butyl" "T,_T+,_CMR" 16219,325 "Herbicide" NA NA NA
"161" "2000044" "2010" "fluazifop-p-butyl" "N_Organique" 16495,075 "Herbicide" NA NA NA
"162" "2000044" "2014" "fluazifop-p-butyl" "N_Organique" 12531,57375 "Herbicide" NA NA NA
"163" "2000044" "2011" "fluazifop-p-butyl" "N_Organique" 13926,775 "Herbicide" NA NA NA
"164" "2000045" "2009" "heptamethyltrisiloxane_modifie_polyalkylenoxide" "N_Organique" 25327,51041005 "Non_precise" NA NA NA
"165" "2000045" "2015" "heptamethyltrisiloxane_modifie_polyalkylenoxide" "Autre" 108,70872375 "Non_precise" NA NA NA
"166" "2000045" "2019" "cyazofamide" "Env_A" 29,2 "Non_precise" NA NA NA
"167" "2000045" "2013" "cyazofamide" "N_Organique" 277,7172 "Non_precise" NA NA NA
